id,title,authors,date,source_name,category,type,area,url,summary,breadth_score,significance_score,tags,notes,retrieved_at
799ee60fe9db2e71,Shaping the Future of Mathematics in the Age of AI,"Johan Commelin, Mateja Jamnik, Rodrigo Ochigame, et al.",2026-06,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3347,,4,3,"expository,type:expository",,2026-07-10T04:39:49
d7bdd1b03bd43b6a,Bookshelf,Emily Olson,2026-01,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3289,,4,3,"expository,type:expository",,2026-07-10T04:39:49
2e973d4ee1b1c314,Mathematics People,,2026-03,Notices of the AMS,A,expository,история/философия математики,https://doi.org/10.1090/noti3316,,4,3,"expository,type:expository",,2026-07-10T04:39:49
429b3c7f88e9133e,Irregularity Is the General Rule,Cédric Villani,2026-05,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3324,,4,3,"expository,type:expository",,2026-07-10T04:39:49
15901c1435090fe9,Zolotarev’s Magical Proof of Quadratic Reciprocity,Matthew Baker,2026-03,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3303,,5,3,"expository,legible,type:expository",,2026-07-10T04:39:49
c85a00489a60161b,Expanding Mathematical Futures Through Storytelling,"Erica Walker, Robin Wilson, Nasriah Morrison, et al.",2026-06,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3346,,4,3,"expository,type:expository",,2026-07-10T04:39:49
b37353bf27a3c2a3,I. Martin Isaacs (1940–2025),"Mark Lewis, Don Passman, George Glauberman, et al.",2025-12,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3275,,4,3,"expository,type:expository",,2026-07-10T04:39:49
bc1a0d1ee7974dd0,Shmuel Agmon (1922–2025),"Matania Ben-Artzi, Ira Herbst, Yehuda Pinchover, et al.",2026-03,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3311,,4,3,"expository,type:expository",,2026-07-10T04:39:49
e5f539c29a1f8bfc,Spectral Methods in Microeconomics,Benjamin Golub,2026-06,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3360,,4,3,"expository,type:expository",,2026-07-10T04:39:49
6bbfdad8ee7194b2,2026 Class of AMS Fellows,,2026-04,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3340,,4,3,"expository,type:expository",,2026-07-10T04:39:49
